Rpsi(lP),Evac
2.083343089591013788e+39,1.359459596957900696e-01
2.085263187609327995e+39,1.363041670989213472e-01
2.087185055272061190e+39,1.366626690279630074e-01
2.089108694210124725e+39,1.370214645542194853e-01
2.091034106056070159e+39,1.373805527482409861e-01
2.092961292443816651e+39,1.377399326798129930e-01
2.094890255008926591e+39,1.380996034179845511e-01
2.096820995388331781e+39,1.384595640310322673e-01
2.098753515220611183e+39,1.388198135864880112e-01
2.100687816145715286e+39,1.391803511511290614e-01
2.102623899805209704e+39,1.395411757909991168e-01
2.104561767842173625e+39,1.399022865714047437e-01
2.106501421901096150e+39,1.402636825568730206e-01
2.108442863628120790e+39,1.406253628112366927e-01
2.110386094670769538e+39,1.409873263975603419e-01
2.112331116678221520e+39,1.413495723782066393e-01
2.114277931301037060e+39,1.417120998147552158e-01
2.116226540191436035e+39,1.420749077681273398e-01
2.118176945003023450e+39,1.424379952984469733e-01
2.120129147391065976e+39,1.428013614651716667e-01
2.122083149012217528e+39,1.431650053269791778e-01
2.124038951524763164e+39,1.435289259418924823e-01
2.125996556588515723e+39,1.438931223671722770e-01
2.127955965864714271e+39,1.442575936593779584e-01
2.129917181016267405e+39,1.446223388743502203e-01
2.131880203707477307e+39,1.449873570672395862e-01
2.133845035604319920e+39,1.453526472924701052e-01
2.135811678374166286e+39,1.457182086037676072e-01
2.137780133686064227e+39,1.460840400541491557e-01
2.139750403210460293e+39,1.464501406959514140e-01
2.141722488619444869e+39,1.468165095807879850e-01
2.143696391586650025e+39,1.471831457596096959e-01
2.145672113787145243e+39,1.475500482826234139e-01
2.147649656897683433e+39,1.479172161994171952e-01
2.149629022596422884e+39,1.482846485588202590e-01
2.151610212563209239e+39,1.486523444090352142e-01
2.153593228479295637e+39,1.490203027975237071e-01
2.155578072027624991e+39,1.493885227711387320e-01
2.157564744892551031e+39,1.497570033759841046e-01
2.159553248760120889e+39,1.501257436575471338e-01
2.161543585317794026e+39,1.504947426605837135e-01
2.163535756254690966e+39,1.508639994292446940e-01
2.165529763261489935e+39,1.512335130069677180e-01
2.167525608030320170e+39,1.516032824365314557e-01
2.169523292255012776e+39,1.519733067600716470e-01
2.171522817630817833e+39,1.523435850190438812e-01
2.173524185854690007e+39,1.527141162542526576e-01
2.175527398625005661e+39,1.530848995058405049e-01
2.177532457641848765e+39,1.534559338133167916e-01
2.179539364606728008e+39,1.538272182155208667e-01
2.181548121222826442e+39,1.541987517506442917e-01
2.183558729194897816e+39,1.545705334562527400e-01
2.185571190229159586e+39,1.549425623692429477e-01
2.187585506033543765e+39,1.553148375259040259e-01
2.189601678317414946e+39,1.556873579618412717e-01
2.191619708791855301e+39,1.560601227120703982e-01
2.193639599169381092e+39,1.564331308109415675e-01
2.195661351164230392e+39,1.568063812922074474e-01
2.197684966492076875e+39,1.571798731889399725e-01
2.199710446870320259e+39,1.575536055336583807e-01
2.201737794017798276e+39,1.579275773581863829e-01
2.203767009655041763e+39,1.583017876937800883e-01
2.205798095504166456e+39,1.586762355710447936e-01
2.207831053288767515e+39,1.590509200199968498e-01
2.209865884734172793e+39,1.594258400700200584e-01
2.211902591567156016e+39,1.598009947498943706e-01
2.213941175516226932e+39,1.601763830877853123e-01
2.215981638311342973e+39,1.605520041112730723e-01
2.218023981684202125e+39,1.609278568473152815e-01
2.220068207367952177e+39,1.613039403222756851e-01
2.222114317097447922e+39,1.616802535619072390e-01
2.224162312609142352e+39,1.620567955914141156e-01
2.226212195640980577e+39,1.624335654353415148e-01
2.228263967932654602e+39,1.628105621177040885e-01
2.230317631225313797e+39,1.631877846618690897e-01
2.232373187261858958e+39,1.635652320906920143e-01
2.234430637786650359e+39,1.639429034263723273e-01
2.236489984545802125e+39,1.643207976905896872e-01
2.238551229286892387e+39,1.646989139043860129e-01
2.240614373759255243e+39,1.650772510883019017e-01
2.242679419713690914e+39,1.654558082622318571e-01
2.244746368902723248e+39,1.658345844455474394e-01
2.246815223080491521e+39,1.662135786570461404e-01
2.248885984002641026e+39,1.665927899149472202e-01
2.250958653426582391e+39,1.669722172369144941e-01
2.253033233111198718e+39,1.673518596400451752e-01
2.255109724817142066e+39,1.677317161408996837e-01
2.257188130306538479e+39,1.681117857554634831e-01
2.259268451343287192e+39,1.684920674991768341e-01
