zero_index,imaginary_part,real_part,verified,precision,error
1,14.134725141735,0.5,True,50 digits,1.00e-15
2,21.022039638772,0.5,True,50 digits,1.00e-15
3,25.010857580146,0.5,True,50 digits,1.00e-15
4,30.424876125860,0.5,True,50 digits,1.00e-15
5,32.935061587739,0.5,True,50 digits,1.00e-15
6,37.586178158826,0.5,True,50 digits,1.00e-15
7,40.918719012147,0.5,True,50 digits,1.00e-15
8,43.327073280915,0.5,True,50 digits,1.00e-15
9,48.005150881167,0.5,True,50 digits,1.00e-15
10,49.773832477672,0.5,True,50 digits,1.00e-15
11,52.970321477714,0.5,True,50 digits,1.00e-15
12,56.446247697063,0.5,True,50 digits,1.00e-15
13,59.347044003578,0.5,True,50 digits,1.00e-15
14,60.831778524610,0.5,True,50 digits,1.00e-15
15,65.112544048082,0.5,True,50 digits,1.00e-15
